module,skill,display-name,menu-code,description,action,args,phase,preceded-by,followed-by,required,output-location,outputs
Cinematic Production Module,_meta,,,,,,,,,false,,
Cinematic Production Module,cpm-orchestrator,Project Orientation,OR,Orient to the current project position and determine the next steps.,orientation,,anytime,,,false,,Project orientation and next-step guidance
Cinematic Production Module,cpm-orchestrator,Methodology Diagram,MD,Generate the static Excalidraw diagram of the CPM Cinematics-as-Code methodology.,methodology_diagram,,anytime,,,false,Diagrams/,Methodology .excalidraw diagram
Cinematic Production Module,cpm-orchestrator,Production Diagram,PD,Generate and maintain the living Excalidraw diagram of the current production state.,production_diagram,,anytime,,,false,Diagrams/,Diagrams/production-flow.excalidraw
Cinematic Production Module,cpm-orchestrator,Production Status Report,PS,"Summarize production progress — scenes, shards, and what to do next — from the Slate.",status_report,,anytime,,,false,.cpm/,Production status report
Cinematic Production Module,cpm-orchestrator,Route to Agent or Workflow,RT,Read project state and hand off to the right specialist agent or workflow.,route,,anytime,,,false,,Routing decision with rationale
Cinematic Production Module,cpm-showrunner,Scene Review,SR,"Review a scene for thematic alignment and break it into atomic beats, producing Showrunner Notes.",scene-review,{scene: scene identifier},anytime,,,false,Production/Scenes/Scene_{XX}/,Showrunner Notes with atomic beat breakdown
Cinematic Production Module,cpm-showrunner,Beat Definition,BD,"Extract and sharpen the pre-authored beat for the current shard, producing its Showrunner Notes.",beat-definition,{shard: shard number},anytime,,,false,Production/Scenes/Scene_{XX}/,Current beat Showrunner Notes
Cinematic Production Module,cpm-showrunner,Contract Management,CT,"Track narrative contracts through the Plant, Maintain, and Payoff lifecycle.",contract-management,{type: Plant|Maintain|Payoff},anytime,,,false,Production/Contracts/,Narrative contract records and status
Cinematic Production Module,cpm-showrunner,Show Bible Consultation,BC,"Answer story, character, and world questions from canonical Show Bible content.",show-bible-consultation,{question: user query},anytime,,,false,,Canonical answer grounded in the Show Bible
Cinematic Production Module,cpm-cinematographer,Beat Visual Specs,BV,"Architect the full visual specification for one beat — lighting, lens, color, and composition.",beat-visual-specs,{beat: showrunner notes}|{project: project path},anytime,,,false,Production/Scenes/Scene_{XX}/state/,Cinematographer Specs (visual architecture)
Cinematic Production Module,cpm-cinematographer,Style Guide Consultation,GC,Answer a visual-language question with the canonical Style Guide rule and its rationale.,style-guide-consultation,{topic: visual-language question},anytime,,,false,Architecture/,Style Guide rule with rationale
Cinematic Production Module,cpm-cinematographer,Vocabulary Audit,VA,Scan a draft prompt for banned words and missing required terms.,vocabulary-audit,{prompt: draft prompt text or path},anytime,,,false,,Vocabulary audit report
Cinematic Production Module,cpm-script-supervisor,Shard State Validation,SV,"Validate shard continuity, inject missing character state, define the handshake, and halt on failure.",validate,{-project_path: project root}|{shard_number: target shard},anytime,,,false,.cpm/,"Continuity status (PASS/INJECT/FAIL), injected state, and handshake definition"
Cinematic Production Module,cpm-script-supervisor,Handshake Review,HR,Verify the prior shard entry contract was honored by the current shard.,review,{-project_path: project root}|{shard_number: target shard},anytime,,,false,Production/Slate.md,Handshake verification report (honored or violated)
