canonicalId,name,description,module,path
"bmad-advanced-elicitation","bmad-advanced-elicitation","Push the LLM to reconsider, refine, and improve its recent output. Use when user asks for deeper critique or mentions a known deeper critique method, e.g. socratic, first principles, pre-mortem, red team.","core","_bmad/core/bmad-advanced-elicitation/SKILL.md"
"bmad-brainstorming","bmad-brainstorming","Facilitate a brainstorming session using diverse creative techniques. Use when the user says 'help me brainstorm' or 'help me ideate'.","core","_bmad/core/bmad-brainstorming/SKILL.md"
"bmad-customize","bmad-customize","Authors and updates customization overrides for installed BMad skills. Use when the user says 'customize bmad', 'override a skill', 'change agent behavior', or 'customize a workflow'.","core","_bmad/core/bmad-customize/SKILL.md"
"bmad-editorial-review-prose","bmad-editorial-review-prose","Clinical copy-editor that reviews text for communication issues. Use when user says review for prose or improve the prose","core","_bmad/core/bmad-editorial-review-prose/SKILL.md"
"bmad-editorial-review-structure","bmad-editorial-review-structure","Structural editor that proposes cuts, reorganization, and simplification while preserving comprehension. Use when user requests structural review or editorial review of structure","core","_bmad/core/bmad-editorial-review-structure/SKILL.md"
"bmad-forge-idea","bmad-forge-idea","Pressure-test an idea through persona-driven interrogation until it hardens, proves out, or dies cheaply. Use when the user says 'forge an idea', 'pressure-test this idea', 'stress-test my thinking', or 'harden this idea'.","core","_bmad/core/bmad-forge-idea/SKILL.md"
"bmad-help","bmad-help","Analyzes current state and user query to answer BMad questions or recommend the next skill(s) to use. Use when user asks for help, bmad help, what to do next, or what to start with in BMad.","core","_bmad/core/bmad-help/SKILL.md"
"bmad-index-docs","bmad-index-docs","Generates or updates an index.md to reference all docs in the folder. Use if user requests to create or update an index of all files in a specific folder","core","_bmad/core/bmad-index-docs/SKILL.md"
"bmad-party-mode","bmad-party-mode","Orchestrates lively group discussions between installed BMAD agents or custom personas, and helps author custom parties. Use when the user requests party mode, a roundtable, or multiple agent perspectives — or wants to create/configure a party, define personas, or build an AI focus-group panel.","core","_bmad/core/bmad-party-mode/SKILL.md"
"bmad-review-adversarial-general","bmad-review-adversarial-general","Perform a Cynical Review and produce a findings report. Use when the user requests a critical review of something","core","_bmad/core/bmad-review-adversarial-general/SKILL.md"
"bmad-review-edge-case-hunter","bmad-review-edge-case-hunter","Walk every branching path and boundary condition in content, report only unhandled edge cases. Orthogonal to adversarial review - method-driven not attitude-driven. Use when you need exhaustive edge-case analysis of code, specs, or diffs.","core","_bmad/core/bmad-review-edge-case-hunter/SKILL.md"
"bmad-shard-doc","bmad-shard-doc","Splits large markdown documents into smaller, organized files based on level 2 (default) sections. Use if the user says perform shard document","core","_bmad/core/bmad-shard-doc/SKILL.md"
"bmad-spec","bmad-spec","Distill any intent input into the SPEC kernel + companions — the canonical, preservation-validated machine contract for downstream work. Use when the user says ""create a spec"", ""distill this into a spec"", ""validate this spec"", or ""update the spec"".","core","_bmad/core/bmad-spec/SKILL.md"
"bmad-agent-builder","bmad-agent-builder","Builds, edits or analyzes Agent Skills through conversational discovery. Use when the user requests to ""Create an Agent"", ""Analyze an Agent"" or ""Edit an Agent"".","bmb","_bmad/bmb/bmad-agent-builder/SKILL.md"
"bmad-bmb-setup","bmad-bmb-setup","Sets up BMad Builder module in a project. Use when the user requests to 'install bmb module', 'configure BMad Builder', or 'setup BMad Builder'.","bmb","_bmad/bmb/bmad-bmb-setup/SKILL.md"
"bmad-eval-runner","bmad-eval-runner","Run a skill's evals and report results. Use when the user wants to evaluate a skill, run evals, benchmark a skill, validate triggers, optimize a description, or grade skill outputs.","bmb","_bmad/bmb/bmad-eval-runner/SKILL.md"
"bmad-module-builder","bmad-module-builder","Plans, creates, and validates BMad modules. Use when the user requests to 'ideate module', 'plan a module', 'create module', 'build a module', or 'validate module'.","bmb","_bmad/bmb/bmad-module-builder/SKILL.md"
"bmad-workflow-builder","bmad-workflow-builder","Builds, edits, and analyzes workflows and skills. Use when the user requests to ""build a workflow"", ""modify a workflow"", ""quality check workflow"", or ""analyze skill"".","bmb","_bmad/bmb/bmad-workflow-builder/SKILL.md"
cpm-orchestrator,cpm-orchestrator,"CPM Film Director — reads production state and routes to the right agent or workflow. Use when starting a CPM session, asking ""where do I start"", or navigating between agents and workflows.",cpm,_bmad/cpm/cpm-orchestrator/SKILL.md
cpm-showrunner,cpm-showrunner,"CPM Showrunner — guards the story, breaks scenes into atomic beats, and protects the Show Bible. Use when the user asks to talk to Albus, requests the Showrunner, or needs story, character, narrative, theme, or narrative-contract work.",cpm,_bmad/cpm/cpm-showrunner/SKILL.md
cpm-cinematographer,cpm-cinematographer,"CPM Cinematographer — architects lighting, lens, and color for every beat, enforces exact hex codes and the banned-word list, and protects the Style Guide. Use when the user asks to talk to Galadriel, requests the Cinematographer, or needs visual style, color, lighting, lens, composition, or vocabulary work.",cpm,_bmad/cpm/cpm-cinematographer/SKILL.md
cpm-script-supervisor,cpm-script-supervisor,"CPM Script Supervisor — validates continuity, actively injects missing character state, defines shard handshakes, and hard-gates the pipeline before any prompt compiles. Use when the user asks to talk to Jonas, requests the Script Supervisor, or needs continuity, state validation, state-diff gate, handshake, exit-state, entry-contract, or character-state-update work.",cpm,_bmad/cpm/cpm-script-supervisor/SKILL.md
cpm-prompt-engineer,cpm-prompt-engineer,"CPM Prompt Engineer — compiles the Showrunner, Cinematographer, and Script Supervisor outputs into a final AI video prompt that generates without hallucinating missing context. Use when the user asks to talk to Leonard, requests the Prompt Engineer, or needs prompt compilation, a final AI video prompt, a prompt audit, banned-word checking, or variable-interval 5s/15s/30s compilation.",cpm,_bmad/cpm/cpm-prompt-engineer/SKILL.md
cpm-inception,cpm-inception,"Rapid-start onboarding for a new CPM production — one conversational vision interview that scaffolds the project and drafts the Show Bible, Style Guide, and character sketches in a single pass. Use when the user says ""start a new film"", ""rapid start a production"", ""onboard a CPM project"", ""take my idea to a project foundation"", ""set everything up from my vision"", or ""inception"".",cpm,_bmad/cpm/cpm-inception/SKILL.md
cpm-new-project,cpm-new-project,"Scaffolds, repairs, and validates a CPM production project. Use when the user says ""new CPM project"", ""scaffold a production"", ""repair my CPM project"", or ""check my CPM project structure"".",cpm,_bmad/cpm/cpm-new-project/SKILL.md
cpm-show-bible,cpm-show-bible,"Creates, updates, and validates a production's Show Bible. Use when the user says ""create the show bible"", ""write the show bible"", ""update the bible"", or ""check the show bible"".",cpm,_bmad/cpm/cpm-show-bible/SKILL.md
cpm-style-guide,cpm-style-guide,"Defines a CPM production's visual language — palette, lens, lighting, vocabulary. Use when the user says ""create the style guide"", ""define the visual language"", ""set the palette and banned words"", ""update the style guide"", or ""validate my style guide"".",cpm,_bmad/cpm/cpm-style-guide/SKILL.md
cpm-character-create,cpm-character-create,"Creates, updates, and validates a CPM character state file. Use when the user says ""create a character"", ""new character"", ""update character state"", or ""validate a character file"".",cpm,_bmad/cpm/cpm-character-create/SKILL.md
cpm-scene-create,cpm-scene-create,"Creates, updates, and validates a CPM scene brief — the filmmaker-directed beats of a scene. Use when the user says ""create a scene"", ""new scene brief"", ""break a scene into beats"", ""update a scene"", or ""validate a scene brief"".",cpm,_bmad/cpm/cpm-scene-create/SKILL.md
cpm-shard-generation,cpm-shard-generation,"Runs the Four-Agent Ritual to generate, regenerate, or validate one continuity-safe AI video prompt for one beat. Use when the user says ""generate a shard"", ""run the ritual"", ""next shard"", ""regenerate shard"", or ""validate a shard"".",cpm,_bmad/cpm/cpm-shard-generation/SKILL.md
cpm-handshake-test,cpm-handshake-test,"Proves CPM holds continuity across shard boundaries — grades one adjacent boundary or runs the full three-consecutive-pass validation suite for a scene, read-only, writing test reports. Use when the user says ""handshake test"", ""test a boundary"", ""validate continuity"", ""run the validation suite"", ""is CPM validated"", or ""check the handshake"".",cpm,_bmad/cpm/cpm-handshake-test/SKILL.md
