name,description,module,path
"brainstorming","Facilitate interactive brainstorming sessions using diverse creative techniques and ideation methods","core","_bmad/core/workflows/brainstorming/workflow.md"
"party-mode","Orchestrates group discussions between all installed BMAD agents, enabling natural multi-agent conversations","core","_bmad/core/workflows/party-mode/workflow.md"
"agent","Tri-modal workflow for creating, editing, and validating BMAD Core compliant agents","bmb","_bmad/bmb/workflows/agent/workflow.md"
"module","Quad-modal workflow for creating BMAD modules (Brief + Create + Edit + Validate)","bmb","_bmad/bmb/workflows/module/workflow.md"
"workflow","Create structured standalone workflows using markdown-based step architecture (tri-modal: create, validate, edit)","bmb","_bmad/bmb/workflows/workflow/workflow.md"
"design-thinking","Guide human-centered design processes using empathy-driven methodologies. This workflow walks through the design thinking phases - Empathize, Define, Ideate, Prototype, and Test - to create solutions deeply rooted in user needs.","cis","_bmad/cis/workflows/design-thinking/workflow.yaml"
"innovation-strategy","Identify disruption opportunities and architect business model innovation. This workflow guides strategic analysis of markets, competitive dynamics, and business model innovation to uncover sustainable competitive advantages and breakthrough opportunities.","cis","_bmad/cis/workflows/innovation-strategy/workflow.yaml"
"problem-solving","Apply systematic problem-solving methodologies to crack complex challenges. This workflow guides through problem diagnosis, root cause analysis, creative solution generation, evaluation, and implementation planning using proven frameworks.","cis","_bmad/cis/workflows/problem-solving/workflow.yaml"
"storytelling","Craft compelling narratives using proven story frameworks and techniques. This workflow guides users through structured narrative development, applying appropriate story frameworks to create emotionally resonant and engaging stories for any purpose.","cis","_bmad/cis/workflows/storytelling/workflow.yaml"
"new-project","Scaffold a new CPM cinematic production project with directory structure and config","cpm","_bmad/cpm/workflows/new-project/workflow.md"
"show-bible","Create the Show Bible — narrative DNA, themes, world rules, and character arcs","cpm","_bmad/cpm/workflows/show-bible/workflow.md"
"style-guide","Define visual language, color palette, lens vocabulary, and spatial constraints","cpm","_bmad/cpm/workflows/style-guide/workflow.md"
"character-create","Create character state files with immutable features and LEFT/RIGHT specificity","cpm","_bmad/cpm/workflows/character-create/workflow.md"
"scene-create","Create scene brief files with filmmaker-directed beats that define what happens in each shard","cpm","_bmad/cpm/workflows/scene-create/workflow.md"
"shard-generation","Run the Four-Agent Ritual to generate a continuity-safe AI video prompt","cpm","_bmad/cpm/workflows/shard-generation/workflow.md"
"handshake-test","Validate continuity across shards — 3 consecutive passes prove CPM works","cpm","_bmad/cpm/workflows/handshake-test/workflow.md"
